epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4834.66,1.7017,2.08631,1.40001,0.61292,0.60751,0.61632,0.29933,1.77084,1.67864,1.43455,0.000555059,0.000555059,0.000555059
2,9731.79,1.71352,1.67913,1.4254,0.65754,0.64529,0.61686,0.30954,1.74519,1.63415,1.54809,0.00108873,0.00108873,0.00108873
3,19809.2,1.69694,1.57108,1.42356,0.72424,0.66816,0.69788,0.35132,1.7515,1.35789,1.49438,0.0016004,0.0016004,0.0016004
4,4856.55,1.64686,1.47335,1.39579,0.78652,0.62764,0.69682,0.3559,1.71945,1.3403,1.43876,0.00156798,0.00156798,0.00156798
5,12718.2,1.61425,1.38136,1.3737,0.77255,0.70173,0.75191,0.40414,1.65305,1.17432,1.44672,0.00153497,0.00153497,0.00153497
6,6332.63,1.54255,1.27423,1.33209,0.81452,0.68648,0.761,0.40049,1.69442,1.15809,1.47717,0.00150197,0.00150197,0.00150197
7,10922.1,1.51067,1.2119,1.31046,0.75154,0.71216,0.74896,0.40751,1.65066,1.11001,1.42516,0.00146896,0.00146896,0.00146896
8,15364.1,1.53712,1.22912,1.32622,0.80073,0.70116,0.76628,0.42034,1.63163,1.15126,1.4099,0.00143595,0.00143595,0.00143595
9,19811.9,1.54895,1.21076,1.33909,0.768,0.71142,0.76066,0.40001,1.66733,1.17502,1.44688,0.00140295,0.00140295,0.00140295
10,25028.5,1.51542,1.1891,1.31493,0.76505,0.72851,0.7699,0.44146,1.58251,1.10067,1.41569,0.00136994,0.00136994,0.00136994
11,30983.4,1.49757,1.16316,1.30543,0.75219,0.75523,0.76249,0.44666,1.57047,1.0925,1.42319,0.00133693,0.00133693,0.00133693
12,36242.2,1.47984,1.1306,1.29611,0.81209,0.7149,0.78356,0.4347,1.55058,1.05245,1.3925,0.00130393,0.00130393,0.00130393
13,41271.5,1.48031,1.11941,1.30222,0.74593,0.76525,0.78039,0.44131,1.57339,1.05331,1.42463,0.00127092,0.00127092,0.00127092
14,48278.7,1.45948,1.08353,1.28196,0.79843,0.71184,0.78482,0.44527,1.5434,1.02914,1.33784,0.00123791,0.00123791,0.00123791
15,9597.31,1.39987,1.01856,1.25424,0.82344,0.73297,0.79892,0.45632,1.58551,0.99885,1.38306,0.00120491,0.00120491,0.00120491
16,14953.6,1.39379,0.99964,1.24777,0.79061,0.76906,0.80123,0.45449,1.59775,0.97682,1.4003,0.0011719,0.0011719,0.0011719
17,7393.81,1.29189,0.89675,1.19925,0.79654,0.7473,0.7995,0.45601,1.58679,0.96169,1.38388,0.00113889,0.00113889,0.00113889
18,15423.7,1.28578,0.88017,1.19339,0.81458,0.7581,0.8073,0.45759,1.59632,0.93681,1.41197,0.00110589,0.00110589,0.00110589
19,20676.4,1.38539,0.97001,1.24097,0.79349,0.77466,0.81934,0.4636,1.56872,0.95324,1.36145,0.00107288,0.00107288,0.00107288
